Argument ID,text_raw,text_clean,split,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
A03007,Deberíamos adoptar un lenguaje neutro de género. [SEP] en contra [SEP] no deberíamos tener que cambiar nuestro idioma para acomodar a aquellos que no se adhieren a un género específico,deberíamos adoptar un lenguaje neutro de género no deberíamos tener que cambiar nuestro idioma para acomodar a aquellos que no se adhieren a un género específico,train,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
A03008,Deberíamos abolir los zoológicos [SEP] a favor [SEP] debemos abolir los zoológicos ya que los animales no deberían estar en cautiverio y deben vivir en un entorno natural.,deberíamos abolir los zoológicos debemos abolir los zoológicos ya que los animales no deberían estar en cautiverio y deben vivir en un entorno natural,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A03010,Deberíamos adoptar un sistema multipartidista. [SEP] a favor [SEP] le daría a las personas más opciones y permitiría que cada cultura tenga a alguien para votar por ellos.,deberíamos adoptar un sistema multipartidista le daría a las personas más opciones y permitiría que cada cultura tenga a alguien para votar por ellos,train,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A03011,Deberíamos prohibir la comida rápida [SEP] a favor [SEP] la comida rápida es mala para nuestra salud y realmente deberíamos prohibir toda esa clase de alimentos,deberíamos prohibir la comida rápida la comida rápida es mala para nuestra salud y realmente deberíamos prohibir toda esa clase de alimentos,train,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A03012,Debemos detener el desarrollo de coches autónomos. [SEP] a favor [SEP] los coches autónomos quitarán los empleos de miles de personas en todo el mundo al eliminar la función de conductores.,debemos detener el desarrollo de coches autónomos los coches autónomos quitarán los empleos de miles de personas en todo el mundo al eliminar la función de conductores,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
A03015,Deberíamos cancelar las parades de orgullo [SEP] a favor [SEP] las paradas del orgullo crean una gran disturbio,deberíamos cancelar las parades de orgullo las paradas del orgullo crean una gran disturbio,train,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
A03016,Deberíamos abolir los Juegos Olímpicos. [SEP] en contra [SEP] Los Juegos Olímpicos no deberían ser prohibidos. Son el tejido que fortalece la amistad entre las naciones del mundo y un recordatorio de un mundo pacífico que debería ser la visión del mundo.,deberíamos abolir los juegos olímpicos los juegos olímpicos no deberían ser prohibidos son el tejido que fortalece la amistad entre las naciones del mundo y un recordatorio de un mundo pacífico que debería ser la visión del mundo,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
A03017,"Deberíamos prohibir la agricultura工厂农场的西班牙语翻译似乎出现了一些偏差，正确的翻译应该是：

Deberíamos prohibir la granja industrial [SEP] a favor [SEP] Las granjas factory mantienen a los animales en espacios reducidos. Les obligan a vivir en jaulas y no les permiten vagar como deberían.",deberíamos prohibir la agricultura deberíamos prohibir la granja industrial las granjas factory mantienen a los animales en espacios reducidos les obligan a vivir en jaulas y no les permiten vagar como deberían,train,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
A03019,Debe abolirse la pena de muerte. [SEP] a favor [SEP] el castigo capital ha resultado ser ineffectivo en la reducción de las tasas de delincuencia.,debe abolirse la pena de muerte el castigo capital ha resultado ser ineffectivo en la reducción de las tasas de delincuencia,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A04001,"Deberíamos abolir el derecho a tener y portar armas. [SEP] en contra [SEP] no deberíamos abolir el derecho a portar armas porque la ley fue establecida por nuestros padres fundadores, lo que la convierte en un derecho americano.",deberíamos abolir el derecho a tener y portar armas no deberíamos abolir el derecho a portar armas porque la ley fue establecida por nuestros padres fundadores lo que la convierte en un derecho americano,train,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A04002,"Debemos subvencionar la exploración espacial [SEP] en contra [SEP] hay cosas más importantes en qué invertir los fondos públicos, como la atención médica, la vivienda y la educación.",debemos subvencionar la exploración espacial hay cosas más importantes en qué invertir los fondos públicos como la atención médica la vivienda y la educación,train,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A04003,Debemos abandonar el uso del uniforme escolar. [SEP] a favor [SEP] Las uniformes escolares impiden que los niños expresen su personalidad a través de sus opciones de vestimenta.,debemos abandonar el uso del uniforme escolar las uniformes escolares impiden que los niños expresen su personalidad a través de sus opciones de vestimenta,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04004,Deberíamos prohibir la clonación humana [SEP] a favor [SEP] El clonado humano es un acto innatural que va contra las leyes de la naturaleza. Es demasiado peligroso y algo con lo que el ser humano no debería interferir.,deberíamos prohibir la clonación humana el clonado humano es un acto innatural que va contra las leyes de la naturaleza es demasiado peligroso y algo con lo que el ser humano no debería interferir,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A04006,Deberíamos cancelar las parades de orgullo [SEP] a favor [SEP] ¿Por qué los homosexuales deberían tener una parada del orgullo? ¡Los heterosexuales no las tienen!,deberíamos cancelar las parades de orgullo por qué los homosexuales deberían tener una parada del orgullo los heterosexuales no las tienen,train,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
A04007,Deberíamos prohibir la oración en la escuela. [SEP] en contra [SEP] permitir que los niños puedan orar y tener algún tiempo de silencio en la escuela puede ser beneficioso para su salud mental.,deberíamos prohibir la oración en la escuela permitir que los niños puedan orar y tener algún tiempo de silencio en la escuela puede ser beneficioso para su salud mental,train,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
A04008,Deberíamos adoptar un sistema multipartidista. [SEP] a favor [SEP] Deberíamos adoptar un sistema multipartidista ya que el actual sistema bipartidista no se ajusta a la sociedad diversa que está supuesta a representar.,deberíamos adoptar un sistema multipartidista deberíamos adoptar un sistema multipartidista ya que el actual sistema bipartidista no se ajusta a la sociedad diversa que está supuesta a representar,train,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
A04009,Deberíamos abolir los derechos de propiedad intelectual. [SEP] a favor [SEP] los derechos de propiedad intelectual permiten a las grandes corporaciones tener un control abrumador sobre los diseños y trabajos de los creadores y deberían ser abolidos,deberíamos abolir los derechos de propiedad intelectual los derechos de propiedad intelectual permiten a las grandes corporaciones tener un control abrumador sobre los diseños y trabajos de los creadores y deberían ser abolidos,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A04011,"Debemos legalizar el cannabis [SEP] en contra [SEP] el cannabis es altamente adictivo, estudios muestran que hasta uno de cada diez usuarios desarrolla dependencia con el tiempo",debemos legalizar el cannabis el cannabis es altamente adictivo estudios muestran que hasta uno de cada diez usuarios desarrolla dependencia con el tiempo,train,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A04014,Deberíamos prohibir la caza de ballenas. [SEP] a favor [SEP] la caza de ballenas es una práctica bárbara que destruye majestuosos animales,deberíamos prohibir la caza de ballenas la caza de ballenas es una práctica bárbara que destruye majestuosos animales,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A04016,Debemos limitar las compensaciones ejecutivas. [SEP] en contra [SEP] los ejecutivos merecen el dinero ya que realizan un trabajo estresante y exigente liderando organizaciones grandes que emplean a numerosas personas.,debemos limitar las compensaciones ejecutivas los ejecutivos merecen el dinero ya que realizan un trabajo estresante y exigente liderando organizaciones grandes que emplean a numerosas personas,train,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A04017,Deberíamos adoptar una política de tolerancia cero en las escuelas. [SEP] en contra [SEP] políticas de tolerancia cero no abordan las causas subyacentes del comportamiento que está generando el problema,deberíamos adoptar una política de tolerancia cero en las escuelas políticas de tolerancia cero no abordan las causas subyacentes del comportamiento que está generando el problema,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
A04018,"Debemos abandonar el uso del uniforme escolar. [SEP] a favor [SEP] Las uniformes escolares son demasiado贵重，这里似乎出现了一个翻译错误。正确的翻译应该是：

Los uniformes escolares son demasiado costosos y muchos padres no pueden permitirse el lujo de este gasto adicional.",debemos abandonar el uso del uniforme escolar las uniformes escolares son demasiado los uniformes escolares son demasiado costosos y muchos padres no pueden permitirse el lujo de este gasto adicional,train,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
A05001,"Deberíamos abolir los derechos de propiedad intelectual. [SEP] a favor [SEP] las ideas son pensamientos libres, así que no es justo que una persona se beneficie de ellos.",deberíamos abolir los derechos de propiedad intelectual las ideas son pensamientos libres así que no es justo que una persona se beneficie de ellos,train,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A05003,Debemos terminar con el uso de sanciones económicas. [SEP] a favor [SEP] las sanciones económicas afectan más a las personas pobres que a los gobiernos,debemos terminar con el uso de sanciones económicas las sanciones económicas afectan más a las personas pobres que a los gobiernos,train,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
A05005,"Deberíamos prohibir la agricultura工厂农场的西班牙语翻译似乎出现了一些偏差，正确的翻译应该是：

Deberíamos prohibir la granja industrial [SEP] a favor [SEP] la granja industrial es mala para el medio ambiente y debería ser prohibida",deberíamos prohibir la agricultura deberíamos prohibir la granja industrial la granja industrial es mala para el medio ambiente y debería ser prohibida,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A05006,"Debemos legalizar el comercio de órganos. [SEP] a favor [SEP] si legalizamos el comercio de órganos salvaremos vidas, asegurando que más personas que necesitan un trasplante de órgano realmente lo reciban.",debemos legalizar el comercio de órganos si legalizamos el comercio de órganos salvaremos vidas asegurando que más personas que necesitan un trasplante de órgano realmente lo reciban,train,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A05012,Debemos subvencionar la investigación con células madre embrionarias. [SEP] a favor [SEP] la investigación con células madre embrionarias debe ser subvencionada porque solo requiere una pequeña cantidad de células debido a su rápido ritmo de replicación.,debemos subvencionar la investigación con células madre embrionarias la investigación con células madre embrionarias debe ser subvencionada porque solo requiere una pequeña cantidad de células debido a su rápido ritmo de replicación,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A05013,"Deberíamos prohibir las empresas militares privadas. [SEP] a favor [SEP] las compañías militares privadas podrían ser un peligro para nuestra seguridad nacional porque sus motivos son de naturaleza financiera, lo que significa que podrían actuar de formas que no estén en el mejor interés político de nuestro país.",deberíamos prohibir las empresas militares privadas las compañías militares privadas podrían ser un peligro para nuestra seguridad nacional porque sus motivos son de naturaleza financiera lo que significa que podrían actuar de formas que no estén en el mejor interés político de nuestro país,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A05014,Debemos adoptar el libertarianismo [SEP] a favor [SEP] el libertarismo fomenta una sociedad más equitativa y eficiente para todos,debemos adoptar el libertarianismo el libertarismo fomenta una sociedad más equitativa y eficiente para todos,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
A05015,"Deberíamos abolir los espacios seguros. [SEP] a favor [SEP] Estos generalmente se encuentran en universidades. Los estudiantes necesitan prepararse para el mundo real y saber cómo manejar los conflictos. Una vez que abandonan la escuela, no tendrán idea de cómo lidiar con el constante conflicto en la vida.",deberíamos abolir los espacios seguros estos generalmente se encuentran en universidades los estudiantes necesitan prepararse para el mundo real y saber cómo manejar los conflictos una vez que abandonan la escuela no tendrán idea de cómo lidiar con el constante conflicto en la vida,train,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A05016,"Debemos detener el desarrollo de los coches autónomos. [SEP] en contra [SEP] el uso de coches autónomos debería conducir a una reducción sustancial en los accidentes de tráfico, que actualmente son principalmente resultado de errores humanos.",debemos detener el desarrollo de los coches autónomos el uso de coches autónomos debería conducir a una reducción sustancial en los accidentes de tráfico que actualmente son principalmente resultado de errores humanos,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A05017,Deberíamos prohibir la cirugía estética. [SEP] a favor [SEP] la cirugía cosmética es innecesaria y peligrosa.,deberíamos prohibir la cirugía estética la cirugía cosmética es innecesaria y peligrosa,train,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
A05018,Deberíamos abolir los Juegos Olímpicos. [SEP] a favor [SEP] los Juegos Olímpicos causan turbulencia y mucha dinero.,deberíamos abolir los juegos olímpicos los juegos olímpicos causan turbulencia y mucha dinero,train,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
A05021,Debemos legalizar el cannabis [SEP] a favor [SEP] Legalizar la marihuana llevaría a una reducción de la violencia relacionada con el tráfico de drogas por parte de bandas criminales.,debemos legalizar el cannabis legalizar la marihuana llevaría a una reducción de la violencia relacionada con el tráfico de drogas por parte de bandas criminales,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
A05022,Debemos adoptar un lenguaje neutro de género. [SEP] a favor [SEP] debemos adoptar un lenguaje neutro de género porque evita ofender a las personas con estereotipos de género,debemos adoptar un lenguaje neutro de género debemos adoptar un lenguaje neutro de género porque evita ofender a las personas con estereotipos de género,train,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0
A05023,Deberíamos prohibir el comercio algorítmico. [SEP] a favor [SEP] el comercio algorítmico debería prohibirse ya que manipula la economía para beneficiar a los accionistas.,deberíamos prohibir el comercio algorítmico el comercio algorítmico debería prohibirse ya que manipula la economía para beneficiar a los accionistas,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
A05027,Deberíamos prohibir la caza de ballenas. [SEP] en contra [SEP] No hay mucha diferencia entre la industria ballenera y nuestras industrias agrícolas; los humanos tienen el derecho de cazar animales para comerlos y utilizarlos a nuestro beneficio.,deberíamos prohibir la caza de ballenas no hay mucha diferencia entre la industria ballenera y nuestras industrias agrícolas los humanos tienen el derecho de cazar animales para comerlos y utilizarlos a nuestro beneficio,train,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A05028,Deberíamos prohibir el uso de actores infantiles. [SEP] a favor [SEP] el mundo del espectáculo ha demostrado ser lleno de vicios que en el caso de los niños es muy perjudicial.,deberíamos prohibir el uso de actores infantiles el mundo del espectáculo ha demostrado ser lleno de vicios que en el caso de los niños es muy perjudicial,train,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
A05033,Debemos subvencionar la investigación con células madre embrionarias. [SEP] en contra [SEP] esta investigación es muy controvertida y en contra de muchas religiones,debemos subvencionar la investigación con células madre embrionarias esta investigación es muy controvertida y en contra de muchas religiones,train,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
A05034,Deberíamos abrogar las leyes de tres condenas. [SEP] a favor [SEP] tres es un número arbitrario y puede no ser apropiado en某些情况下或某些犯罪中,deberíamos abrogar las leyes de tres condenas tres es un número arbitrario y puede no ser apropiado en,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
A05036,Deberíamos abolir la jubilación obligatoria. [SEP] a favor [SEP] la pérdida de experiencia y conocimiento por el retiro obligatorio es costosa para las empresas,deberíamos abolir la jubilación obligatoria la pérdida de experiencia y conocimiento por el retiro obligatorio es costosa para las empresas,train,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A05039,Deberíamos subsidiar los préstamos estudiantiles. [SEP] a favor [SEP] los préstamos estudiantiles preparan a los niños para ser ciudadanos valiosos y el estado debería apoyar esto,deberíamos subsidiar los préstamos estudiantiles los préstamos estudiantiles preparan a los niños para ser ciudadanos valiosos y el estado debería apoyar esto,train,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A05040,"Debemos legalizar la selección sexual. [SEP] en contra [SEP] no deberíamos hacer esto porque países como China ya lo hicieron y causó una epidemia donde hay un gran desequilibrio entre hombres y mujeres, lo que desestabiliza la población.",debemos legalizar la selección sexual no deberíamos hacer esto porque países como china ya lo hicieron y causó una epidemia donde hay un gran desequilibrio entre hombres y mujeres lo que desestabiliza la población,train,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
A05041,Debemos oponernos al colectivismo. [SEP] a favor [SEP] el colectivismo inhibe los pensamientos originales y desalienta a las personas de buscar sus propias ideas,debemos oponernos al colectivismo el colectivismo inhibe los pensamientos originales y desalienta a las personas de buscar sus propias ideas,train,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A05042,Deberíamos prohibir el trabajo misionero. [SEP] a favor [SEP] el trabajo misionero se aprovecha de la ignorancia de las personas locales para explotarlas,deberíamos prohibir el trabajo misionero el trabajo misionero se aprovecha de la ignorancia de las personas locales para explotarlas,train,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
A05044,"Debemos limitar el activismo judicial [SEP] a favor [SEP] Los activistas no son los que moldean las leyes. Ellos no son ""todos"" los que votan a favor de las leyes. El activismo judicial debe limitarse solo a verificar el abuso del poder por parte de los gobiernos.",debemos limitar el activismo judicial los activistas no son los que moldean las leyes ellos no son todos los que votan a favor de las leyes el activismo judicial debe limitarse solo a verificar el abuso del poder por parte de los gobiernos,train,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A05045,Debemos subvencionar Wikipedia [SEP] en contra [SEP] subvencionar Wikipedia puede causar que proporcione información sesgada,debemos subvencionar wikipedia subvencionar wikipedia puede causar que proporcione información sesgada,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
